date,home_team,away_team,tournament,result,home_elo,away_elo,elo_diff,home_legacy,away_legacy,legacy_diff,home_win_rate,away_win_rate,home_gd_pg,away_gd_pg,home_federation_AFC,home_federation_CAF,home_federation_CONCACAF,home_federation_CONMEBOL,home_federation_OFC,home_federation_OTHER,home_federation_UEFA,away_federation_AFC,away_federation_CAF,away_federation_CONCACAF,away_federation_CONMEBOL,away_federation_OFC,away_federation_OTHER,away_federation_UEFA
2010-01-11,Ivory Coast,Burkina Faso,African Cup of Nations,1,1770.2288760058484,1532.3072182435537,237.92165776229467,1685.576780448499,1503.0871922119147,182.48958823658427,0.7,0.5,1.4,-0.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-11,Malawi,Algeria,African Cup of Nations,2,1478.4155802188366,1649.3628075920815,-170.9472273732449,1471.1811450690373,1615.0550280670254,-143.87388299798818,0.3,0.7,0.0,0.8,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2010-01-12,Mozambique,Benin,African Cup of Nations,1,1511.2970642544076,1520.4783254613442,-9.181261206936597,1453.8491874882227,1379.6130278487346,74.23615963948805,0.5,0.4,-0.2,-0.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-12,Egypt,Nigeria,African Cup of Nations,2,1742.1674706682688,1756.1705261185757,-14.003055450306874,1680.4271582666574,1699.8042911083028,-19.377132841645334,0.7,0.4,1.5,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-13,Cameroon,Gabon,African Cup of Nations,0,1752.023475892215,1609.0151990467978,143.00827684541719,1677.1588624703043,1541.5082343221195,135.65062814818475,0.6,0.5,1.0,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-13,Zambia,Tunisia,African Cup of Nations,1,1568.7866211909375,1650.2713730135347,-81.48475182259722,1604.2446038392063,1665.4950426857545,-61.25043884654815,0.7,0.4,1.5,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-14,Angola,Malawi,African Cup of Nations,2,1522.3772928861983,1501.7087434638695,20.66854942232885,1552.6347744631391,1471.2162636862693,81.41851077686988,0.1,0.4,-0.2,0.4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2010-01-14,Mali,Algeria,African Cup of Nations,0,1604.1903236340952,1626.0696443470486,-21.87932071295336,1549.0175744628602,1615.1047608899592,-66.08718642709891,0.4,0.7,0.5,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-15,Ivory Coast,Ghana,African Cup of Nations,2,1760.714845789961,1663.8283543206817,96.88649146927924,1685.959821604867,1611.9136615166517,74.0461600882154,0.6,0.4,1.3,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-16,Nigeria,Benin,African Cup of Nations,2,1739.5260105330153,1520.0556111499482,219.47039938306716,1700.0689213196188,1380.7310064012158,319.33791491840293,0.4,0.4,0.4,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-16,Egypt,Mozambique,African Cup of Nations,2,1758.8119862538292,1511.7197785658036,247.0922076880256,1680.6256801714858,1454.1831867717472,226.44249339973862,0.7,0.5,1.4,-0.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-17,Cameroon,Zambia,African Cup of Nations,2,1729.786041846246,1572.4718109172932,157.31423092895284,1677.3020712513155,1604.1283481583923,73.17372309292318,0.6,0.6,1.0,1.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-17,Gabon,Tunisia,African Cup of Nations,1,1631.2526330927667,1646.586183287179,-15.333550194412283,1541.9100614930996,1665.4339034501231,-123.52384195702348,0.5,0.3,0.5,0.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-17,Vietnam,China PR,AFC Asian Cup qualification,0,1508.2704910925308,1620.3713802198151,-112.10088912728429,1441.042625738913,1639.6928593402797,-198.6502336013666,0.4,0.5,-0.1,1.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-01-18,Angola,Algeria,African Cup of Nations,1,1537.4265922320312,1641.063394200808,-103.63680196877681,1552.4771834132591,1614.9768318995148,-62.49964848625564,0.2,0.7,0.0,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-18,Mali,Malawi,African Cup of Nations,2,1589.1965737803357,1486.6594441180366,102.5371296622991,1549.2564175328655,1471.3635703518614,77.89284718100407,0.3,0.4,0.2,0.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2010-01-19,Burkina Faso,Ghana,African Cup of Nations,0,1541.8212484594412,1652.1779745906135,-110.35672613117231,1503.2401766413996,1612.1393775723213,-108.89920093092178,0.5,0.3,-0.2,0.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-20,Egypt,Benin,African Cup of Nations,2,1765.0292407212164,1513.0030106536988,252.02623006751764,1680.876277306365,1381.8280505330958,299.0482267732691,0.8,0.4,1.6,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-20,Yemen,Bahrain,AFC Asian Cup qualification,2,1424.739649354187,1703.4772239572558,-278.7375746030689,1363.5638705939566,1560.3755895947243,-196.81171900076765,0.4,0.6,-0.3,1.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2010-01-20,Nigeria,Mozambique,African Cup of Nations,2,1746.5786110292647,1505.5025240984164,241.0760869308483,1700.2533002411767,1454.515768227204,245.73753201397267,0.5,0.4,0.5,-0.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-21,Cameroon,Tunisia,African Cup of Nations,1,1738.999049457442,1645.8805053109445,93.11854414649747,1677.5216694546418,1665.3585125694715,12.163156885170338,0.7,0.2,1.1,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-21,Gabon,Zambia,African Cup of Nations,0,1631.9583110690012,1563.2588033060972,68.69950776290398,1542.4387157629203,1604.0248954223102,-61.58617965938993,0.5,0.5,0.5,1.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-24,Angola,Ghana,African Cup of Nations,0,1542.062553603169,1663.2601446888098,-121.19759108564085,1552.3992010755326,1612.312704832141,-59.91350375660841,0.2,0.3,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-24,Ivory Coast,Algeria,African Cup of Nations,0,1772.365225520029,1636.4274328296704,135.93779269035872,1686.296555948043,1615.109250997491,71.18730495055206,0.6,0.7,1.4,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-25,Zambia,Nigeria,African Cup of Nations,1,1582.3819351355862,1752.9711843808866,-170.58924924530038,1603.8921068486418,1700.4687668029817,-96.5766599543399,0.6,0.6,1.4,0.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-25,Egypt,Cameroon,African Cup of Nations,2,1771.1054523583755,1734.8105947129795,36.29485764539595,1681.1451366143997,1677.7778252046533,3.367311409746435,0.8,0.7,1.7,1.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-28,Algeria,Egypt,African Cup of Nations,0,1658.386573875355,1785.4400660766812,-127.05349220132621,1615.216918582502,1681.1708905524551,-65.95397196995305,0.7,0.8,0.4,1.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-28,Ghana,Nigeria,African Cup of Nations,2,1673.8946775085276,1745.6910875056824,-71.7964099971548,1612.532305866006,1701.0176981181598,-88.48539225215382,0.3,0.6,-0.2,0.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-30,Nigeria,Algeria,African Cup of Nations,2,1726.4310138767903,1647.9900216930312,78.44099218375914,1701.449365831975,1615.4338515236723,86.01551430830273,0.5,0.6,0.6,-0.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-31,Ghana,Egypt,African Cup of Nations,0,1693.1547511374197,1795.836618259005,-102.68186712158536,1612.795663684214,1681.5040189087626,-68.70835522454854,0.3,0.8,-0.3,1.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-03-03,Jordan,Singapore,AFC Asian Cup qualification,2,1477.5274583378389,1508.125281828484,-30.59782349064517,1544.7946598181718,1455.199711316222,89.59494850194983,0.1,0.3,-1.1,-0.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-03-03,Japan,Bahrain,AFC Asian Cup qualification,2,1783.6757518495833,1656.4337016456898,127.24205020389354,1723.0226117838874,1562.7778883235444,160.24472346034304,0.6,0.4,1.9,0.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-03-03,Iran,Thailand,AFC Asian Cup qualification,2,1676.2888670421482,1601.545307735458,74.74355930669026,1721.9085149299528,1568.109485356037,153.79902957391573,0.4,0.4,0.0,0.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-03-03,Hong Kong,Yemen,AFC Asian Cup qualification,1,1394.361710514422,1432.8558386349168,-38.494128120494906,1411.3930527659106,1364.8708568317065,46.52219593420409,0.1,0.5,-1.5,0.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-03-03,Uzbekistan,United Arab Emirates,AFC Asian Cup qualification,0,1590.016640225614,1517.649934808641,72.36670541697299,1575.8238830474377,1589.2673647345453,-13.443481687107578,0.3,0.2,0.3,-0.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-03-03,Syria,Lebanon,AFC Asian Cup qualification,2,1619.594502167336,1382.7237673680916,236.87073479924447,1539.6655443769282,1485.7456641216545,53.91988025527371,0.2,0.2,0.3,-0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2010-03-03,Oman,Kuwait,AFC Asian Cup qualification,1,1672.1468578965741,1599.1938700811395,72.95298781543465,1536.9114371315468,1602.7588472384061,-65.84741010685934,0.3,0.5,-0.2,1.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-03-03,Australia,Indonesia,AFC Asian Cup qualification,2,1799.138679752711,1445.3176911210205,353.8209886316904,1754.1560972106959,1445.6589619753065,308.49713523538935,0.6,0.2,0.8,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-06-11,Uruguay,France,FIFA World Cup,1,1781.5122369455323,1825.7254411008723,-44.21320415534001,1707.6282384179653,1890.6889782806386,-183.06073986267324,0.5,0.4,0.6,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2010-06-11,South Africa,Mexico,FIFA World Cup,1,1693.0734438266868,1823.8158953750167,-130.74245154832988,1642.3306062999031,1763.5914362555625,-121.26082995565935,0.6,0.6,1.6,0.6,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2010-06-12,Argentina,Nigeria,FIFA World Cup,2,1873.2134038439613,1751.629182618034,121.5842212259272,1837.2758878412517,1703.2988128467116,133.9770749945401,0.8,0.5,1.3,0.7,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2010-06-12,England,United States,FIFA World Cup,1,1924.457663881617,1781.5721904714928,142.88547341012418,1840.4878475745825,1710.6621643174008,129.8256832571817,0.7,0.4,1.7,-0.3,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2010-06-12,South Korea,Greece,FIFA World Cup,2,1781.522230624823,1695.369564295526,86.15266632929684,1724.2344148869468,1681.4833991945095,42.75101569243725,0.7,0.3,1.1,-0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-06-13,Serbia,Ghana,FIFA World Cup,0,1777.4992070706912,1667.6972745855933,109.80193248509795,1693.1242834922293,1614.1551724550336,78.96911103719572,0.6,0.4,1.2,-0.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2010-06-13,Algeria,Slovenia,FIFA World Cup,0,1628.2532730103592,1644.5576020826,-16.304329072240762,1612.6225583619728,1570.5839714085614,42.03858695341137,0.4,0.7,-1.0,1.6,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2010-06-13,Germany,Australia,FIFA World Cup,2,1880.9249624545055,1804.8031356548215,76.12182679968396,1861.74949223329,1755.2391418031834,106.51035043010666,0.7,0.6,1.6,0.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2010-06-14,Japan,Cameroon,FIFA World Cup,2,1735.9223814895372,1687.7372959752968,48.18508551424043,1723.8526350667858,1678.8582321623203,44.99440290446546,0.3,0.2,-0.4,-0.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-06-14,Netherlands,Denmark,FIFA World Cup,2,1946.3834340606088,1726.952149937646,219.43128412296278,1849.0086825079627,1779.1865873707163,69.82209513724638,0.6,0.3,1.4,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2010-06-14,Italy,Paraguay,FIFA World Cup,1,1847.431116294505,1721.5245151170361,125.90660117746893,1850.0596115841572,1700.4309718660788,149.62863971807838,0.4,0.3,0.5,-0.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2010-06-15,Ivory Coast,Portugal,FIFA World Cup,1,1750.8080441101629,1821.6491730072069,-70.84112889704397,1688.0592432665771,1789.643980787564,-101.58473752098689,0.5,0.8,0.7,1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2010-06-15,New Zealand,Slovakia,FIFA World Cup,1,1585.6813730637905,1656.956819849626,-71.27544678583558,1577.3401950460384,1605.4308452307519,-28.090650184713468,0.3,0.4,-0.8,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2010-06-15,Brazil,North Korea,FIFA World Cup,2,1991.179593564648,1559.0643210139283,432.11527255071974,1897.7449943619065,1575.5987783758947,322.14621598601184,0.8,0.2,1.6,0.4,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2010-06-16,Honduras,Chile,FIFA World Cup,0,1679.6795504107704,1829.209124904824,-149.52957449405358,1642.3826746987422,1675.0257017430597,-32.64302704431748,0.3,0.8,-0.4,1.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2010-06-16,South Africa,Uruguay,FIFA World Cup,0,1698.8253804851224,1783.5374101093769,-84.71202962425446,1642.528820508992,1707.9404809439898,-65.41166043499766,0.5,0.5,1.3,0.6,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2010-06-16,Spain,Switzerland,FIFA World Cup,0,2061.4756470009156,1715.2761315138328,346.19951548708286,1866.4088364524719,1687.763307102129,178.64552935034294,1.0,0.3,2.7,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2010-06-17,Argentina,South Korea,FIFA World Cup,2,1883.8321398309274,1793.634119404949,90.19802042597848,1838.217273566283,1724.4007925799835,113.81648098629944,0.8,0.7,1.2,1.1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2010-06-17,France,Mexico,FIFA World Cup,0,1823.7002679370278,1818.063958716581,5.636309220446719,1890.4160222420683,1763.74950570207,126.66651653999816,0.4,0.5,0.6,0.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2010-06-17,Greece,Nigeria,FIFA World Cup,2,1683.2576755154,1741.010446631068,-57.75277111566788,1681.5495237902287,1703.522564558616,-21.973040768387364,0.3,0.5,-0.3,0.8,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2010-06-18,Slovenia,United States,FIFA World Cup,1,1659.807310664863,1787.8048280145001,-127.99751734963706,1571.0405987584013,1711.2819089522923,-140.24131019389097,0.8,0.3,1.8,-0.4,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2010-06-18,Germany,Serbia,FIFA World Cup,0,1893.4744585903989,1756.604523996342,136.86993459405676,1861.8740099882416,1693.6036864671069,168.27032352113474,0.7,0.6,1.8,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2010-06-18,England,Algeria,FIFA World Cup,1,1918.2250263386097,1613.003564428096,305.22146191051365,1841.0339955126808,1612.7019020911525,228.33209342152827,0.6,0.3,1.1,-1.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2010-06-19,Netherlands,Japan,FIFA World Cup,2,1953.4372726515112,1749.7174946974205,203.71977795409066,1849.7048319828257,1723.8918225551713,125.81300942765438,0.7,0.3,1.6,-0.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2010-06-19,Cameroon,Denmark,FIFA World Cup,0,1673.9421827674134,1719.8983113467436,-45.9561285793302,1678.8217405428425,1778.936661832759,-100.11492128991654,0.1,0.3,-0.6,-0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2010-06-19,Ghana,Australia,FIFA World Cup,1,1688.5919576599424,1792.2536395189281,-103.66168185898573,1614.3810884977786,1755.483299408364,-141.10221091058543,0.5,0.5,-0.2,-0.3,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2010-06-20,Slovakia,Paraguay,FIFA World Cup,0,1653.719748454704,1727.0815711517837,-73.36182269707979,1605.7108777015067,1700.5238949641007,-94.81301726259403,0.4,0.2,0.3,-0.3,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2010-06-20,Brazil,Ivory Coast,FIFA World Cup,2,1993.6353468824232,1754.0259282716981,239.60941861072502,1898.1711773523482,1688.3431744921138,209.8280028602344,0.8,0.4,1.6,0.4,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2010-06-20,Italy,New Zealand,FIFA World Cup,1,1841.8740602597575,1588.9184444587127,252.95561580104481,1850.2616168437278,1577.4063948715761,272.85522197215164,0.4,0.3,0.5,-0.3,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2010-06-21,Chile,Switzerland,FIFA World Cup,2,1838.7188940928304,1743.4376669065546,95.28122718627583,1675.6989918005347,1687.9022607607737,-12.20326896023903,0.8,0.3,1.2,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2010-06-21,Portugal,North Korea,FIFA World Cup,2,1818.4312888456716,1556.6085676961532,261.82272114951843,1789.7949486753928,1575.4921044574303,214.3028442179625,0.8,0.2,1.7,0.3,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2010-06-21,Spain,Honduras,FIFA World Cup,2,2033.3141116081938,1670.169781222764,363.14433038542984,1867.6979015988668,1642.5250291861928,225.172872412674,0.9,0.3,2.1,-0.4,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2010-06-22,Greece,Argentina,FIFA World Cup,0,1701.893060705698,1895.7692368213113,-193.87617611561336,1681.557619296035,1839.1194240290426,-157.56180473300765,0.4,0.8,0.0,1.4,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2010-06-22,Mexico,Uruguay,FIFA World Cup,0,1834.3234975809328,1795.711787510964,38.611710069968694,1763.8916901340451,1708.286283505638,55.60540662840708,0.6,0.6,0.7,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2010-06-22,Nigeria,South Korea,FIFA World Cup,1,1722.37506144077,1781.697022414565,-59.32196097379506,1703.6953197755397,1724.7349253136704,-21.039605538130672,0.4,0.6,0.6,0.7,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2010-06-22,South Africa,France,FIFA World Cup,2,1686.6510030835352,1807.440729072676,-120.78972598914083,1642.7478732715451,1890.1368768265659,-247.38900355502074,0.5,0.4,1.0,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2010-06-23,Ghana,Germany,FIFA World Cup,0,1693.2289685797302,1871.4783824535543,-178.2494138738241,1614.6928988724094,1862.0266773066385,-247.3337784342291,0.5,0.6,-0.2,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2010-06-23,Slovenia,England,FIFA World Cup,0,1665.4488639726858,1906.9343694618608,-241.485505489175,1571.585179813042,1841.554862790961,-269.96968297791886,0.7,0.6,1.3,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2010-06-23,United States,Algeria,FIFA World Cup,2,1782.1632747066774,1624.294221304845,157.8690534018324,1711.9354747581947,1612.7034256383085,99.23204911988614,0.3,0.3,-0.4,-0.9,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2010-06-23,Australia,Serbia,FIFA World Cup,2,1787.6166285991403,1778.6006001331866,9.016028465953696,1755.6635461736118,1693.9596234023002,61.70392277131168,0.5,0.6,-0.1,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-06-24,Cameroon,Netherlands,FIFA World Cup,0,1660.0462838848405,1961.0009953714052,-300.95471148656475,1678.7888163378566,1850.43002425843,-171.64120792057338,0.1,0.7,-0.6,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2010-06-24,Denmark,Japan,FIFA World Cup,0,1733.7942102293166,1742.1537719775265,-8.359561748209899,1778.6555268304448,1723.975400782169,54.68012604827595,0.4,0.3,0.0,-0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2010-06-24,Paraguay,New Zealand,FIFA World Cup,1,1739.7524643269628,1598.8685241235635,140.88394020339933,1700.6403760000117,1577.4970409313173,123.14333506869434,0.3,0.3,0.1,-0.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2010-06-24,Slovakia,Italy,FIFA World Cup,2,1641.0488552795248,1831.9239805949067,-190.87512531538187,1605.9703851109832,1850.2253070749662,-244.25492196398295,0.4,0.3,0.1,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2010-06-25,Switzerland,Honduras,FIFA World Cup,1,1731.7187397124528,1666.648796486347,65.0699432261058,1688.181333153466,1642.630142311807,45.551190841659036,0.3,0.2,0.1,-0.7,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2010-06-25,Chile,Spain,FIFA World Cup,0,1850.4378212869321,2036.8350963446107,-186.3972750576786,1676.4077739844142,1868.804750529316,-192.3969765449017,0.8,0.9,1.2,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2010-06-25,North Korea,Ivory Coast,FIFA World Cup,0,1550.8051062102813,1747.590055811903,-196.78494960162175,1575.3710561448581,1688.6390427523822,-113.26798660752411,0.1,0.4,-0.8,0.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-06-25,Portugal,Brazil,FIFA World Cup,1,1824.2347503315434,2000.0712193422182,-175.83646901067482,1789.9293915869903,1898.6832038158109,-108.7538122288206,0.8,0.8,2.3,1.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2010-06-26,United States,Ghana,FIFA World Cup,0,1791.3553434235519,1684.7859734745105,106.5693699490414,1712.132191284661,1615.0215016745321,97.11068961012893,0.4,0.5,-0.2,-0.1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2010-06-26,Uruguay,South Korea,FIFA World Cup,2,1813.4826380875315,1778.991386610746,34.491251476785465,1708.6467023137873,1724.9059826623215,-16.259280348534276,0.7,0.5,1.2,0.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2010-06-27,Germany,England,FIFA World Cup,2,1879.921377558774,1913.314895020194,-33.39351746141983,1862.1248917964456,1841.9821038023163,20.14278799412932,0.6,0.6,1.2,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2010-06-27,Argentina,Mexico,FIFA World Cup,2,1903.6651209445988,1816.5526470043653,87.11247394023349,1840.0581192172417,1764.0755851926533,75.9825340245884,0.8,0.6,1.5,0.6,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2010-06-28,Brazil,Chile,FIFA World Cup,2,1992.600828756261,1842.2830986973288,150.31773005893228,1899.003039826935,1677.1611508125634,221.84188901437165,0.7,0.7,1.4,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2010-06-28,Netherlands,Slovakia,FIFA World Cup,2,1965.8098412916702,1665.0497747849029,300.7600665067673,1851.1954357143304,1606.1589790366206,245.0364566777098,0.7,0.4,1.4,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2010-06-29,Paraguay,Japan,FIFA World Cup,1,1733.5981891764386,1757.7688742043363,-24.17068502789766,1700.8111711455442,1724.0340406892506,-23.222869543706338,0.3,0.4,0.2,-0.3,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2010-06-29,Spain,Portugal,FIFA World Cup,2,2044.989818934214,1831.7051409175006,213.28467801671354,1869.8612280976176,1790.0896970016845,79.77153109593314,0.9,0.7,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2010-07-01,Tunisia,Botswana,African Cup of Nations qualification,0,1665.156065757824,1444.681276774256,220.47478898356803,1665.831915855418,1385.1314245070546,280.70049134836336,0.2,0.3,0.2,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2010-07-01,Chad,Togo,African Cup of Nations qualification,1,1391.171908351225,1501.0560142757117,-109.88410592448668,1417.8562024128241,1499.593524018089,-81.73732160526492,0.2,0.1,-0.7,-2.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2010-07-02,Netherlands,Brazil,FIFA World Cup,2,1970.6232674452021,2002.0803022185728,-31.45703477337065,1851.702579101841,1899.297372496524,-47.594793394683165,0.8,0.8,1.5,1.8,0,0,0,0,0,0,1,0,0,0,1,0,0,0
